Player_Name,Season,Total_Minutes,FG,FGA,FT,FTA,TRB,AST,PTS,PTOV,SFD,PGA,AND1,PER,TS%,USG%,WS,BPM,VORP,ORtg
Steven Adams  ,2019,0.8441025641,0.5089285714,0.4078947368,0.1836734694,0.3008130081,0.5833333333,0.1367521368,0.3920972644,0.1810699588,0.2857142857,0.1516709512,0.1904761905,0.5421686747,0.7190721649,0.2222222222,0.6054054054,0.5315789474,0.4019607843,0.6029411765
Steven Adams  ,2018,0.7818803419,0.5,0.3771929825,0.2142857143,0.3089430894,0.5512820513,0.1025641026,0.3920972644,0.1069958848,0.2909090909,0.1084832905,0.3047619048,0.6265060241,0.8195876289,0.2326388889,0.6378378378,0.5315789474,0.3921568627,0.6764705882
Steven Adams  ,2017,0.7483760684,0.3928571429,0.3245614035,0.2040816327,0.2601626016,0.4679487179,0.09401709402,0.3130699088,0.1522633745,0.3064935065,0.1105398458,0.2666666667,0.4618473896,0.7139175258,0.2152777778,0.4648648649,0.4631578947,0.3039215686,0.5147058824
Steven Adams  ,2016,0.6201709402,0.2678571429,0.1973684211,0.1428571429,0.2032520325,0.4038461538,0.06837606838,0.2127659574,0.0987654321,0.2155844156,0.07300771208,0.1904761905,0.421686747,0.7963917526,0.09027777778,0.4648648649,0.4842105263,0.3039215686,0.6470588235
Steven Adams  ,2015,0.5370940171,0.25,0.2149122807,0.1530612245,0.2357723577,0.4551282051,0.07692307692,0.2036474164,0.1028806584,0.2181818182,0.07917737789,0.2095238095,0.3654618474,0.6108247423,0.1493055556,0.3351351351,0.4052631579,0.2254901961,0.4264705882
Steven Adams  ,2014,0.3408547009,0.07142857143,0.06578947368,0.1020408163,0.1382113821,0.2371794872,0.04273504274,0.06990881459,0.05349794239,0.1324675325,0.04884318766,0.04761904762,0.2489959839,0.5902061856,0.05902777778,0.2702702703,0.3578947368,0.1862745098,0.4264705882
Bam Adebayo  ,2024,0.7576068376,0.6428571429,0.5921052632,0.4183673469,0.4471544715,0.641025641,0.3333333333,0.556231003,0.2592592593,0.4649350649,0.3475578406,0.3333333333,0.59437751,0.6804123711,0.5173611111,0.5027027027,0.6,0.4607843137,0.5294117647
Bam Adebayo  ,2023,0.8198290598,0.6875,0.6184210526,0.4387755102,0.4390243902,0.5641025641,0.2735042735,0.5896656535,0.2469135802,0.5038961039,0.3007712082,0.3523809524,0.6064257028,0.7216494845,0.5277777778,0.5135135135,0.5526315789,0.4215686275,0.5294117647
Bam Adebayo  ,2022,0.5555555556,0.625,0.5350877193,0.4693877551,0.4959349593,0.6217948718,0.2905982906,0.5501519757,0.2427983539,0.4493506494,0.2457583548,0.4571428571,0.6746987952,0.7628865979,0.5208333333,0.5027027027,0.6736842105,0.4607843137,0.5588235294
Bam Adebayo  ,2021,0.6642735043,0.6071428571,0.5131578947,0.4489795918,0.4471544715,0.5512820513,0.4615384615,0.537993921,0.3374485597,0.4,0.44781491,0.419047619,0.7108433735,0.8092783505,0.4756944444,0.5891891892,0.7315789474,0.5588235294,0.6323529412
Bam Adebayo  ,2020,0.7579487179,0.5178571429,0.4473684211,0.3775510204,0.4308943089,0.6282051282,0.4358974359,0.452887538,0.3868312757,0.4519480519,0.476092545,0.4,0.6144578313,0.7371134021,0.3888888889,0.572972973,0.6526315789,0.5196078431,0.5441176471
Bam Adebayo  ,2019,0.5856410256,0.2767857143,0.2236842105,0.2040816327,0.2276422764,0.4423076923,0.188034188,0.2401215805,0.1440329218,0.2545454545,0.2344473008,0.2857142857,0.5180722892,0.8015463918,0.2013888889,0.4810810811,0.5684210526,0.3725490196,0.6029411765
Bam Adebayo  ,2018,0.3993162393,0.1964285714,0.1798245614,0.193877551,0.2113821138,0.3269230769,0.1282051282,0.179331307,0.0658436214,0.2103896104,0.1326478149,0.180952381,0.4297188755,0.6649484536,0.2048611111,0.3405405405,0.4526315789,0.2549019608,0.5441176471
Jeff Adrien  ,2015,0.005128205128,0.07142857143,0.07894736842,0.1326530612,0.1788617886,0.2628205128,0.07692307692,0.07598784195,0.008230452675,0.04155844156,0.01491002571,0.0380952381,0.3694779116,0.4690721649,0.1493055556,0.1351351351,0.3473684211,0.1960784314,0.4411764706
Jeff Adrien  ,2014,0.2601709402,0.2142857143,0.1929824561,0.1428571429,0.1788617886,0.3461538462,0.05982905983,0.1762917933,0.05349794239,0.1480519481,0.0411311054,0.1333333333,0.4979919679,0.6211340206,0.2534722222,0.2594594595,0.4263157895,0.2254901961,0.5147058824
Arron Afflalo  ,2018,0.1647863248,0.08035714286,0.100877193,0.04081632653,0.0406504065,0.05128205128,0.05128205128,0.07294832827,0.04115226337,0.02857142857,0.03804627249,0,0.03212851406,0.5257731959,0.08680555556,0.1189189189,0.1894736842,0.137254902,0.2794117647
Arron Afflalo  ,2017,0.4717948718,0.2410714286,0.2675438596,0.1428571429,0.1219512195,0.1025641026,0.1111111111,0.2249240122,0.07407407407,0.08311688312,0.0940874036,0.06666666667,0.156626506,0.6365979381,0.1527777778,0.1891891892,0.2842105263,0.1274509804,0.4411764706
Arron Afflalo  ,2016,0.7422222222,0.4196428571,0.4605263158,0.1530612245,0.1463414634,0.2115384615,0.1709401709,0.358662614,0.1111111111,0.1766233766,0.1722365039,0.219047619,0.2369477912,0.5644329897,0.2743055556,0.2594594595,0.3210526316,0.1470588235,0.3823529412
Arron Afflalo  ,2015,0.787008547,0.4017857143,0.4605263158,0.2142857143,0.2032520325,0.1794871795,0.1452991453,0.3738601824,0.1810699588,0.174025974,0.1547557841,0.1619047619,0.2289156627,0.5695876289,0.3125,0.2540540541,0.3421052632,0.1666666667,0.3529411765
Arron Afflalo  ,2014,0.8041025641,0.5446428571,0.5701754386,0.387755102,0.3739837398,0.2051282051,0.2905982906,0.5227963526,0.2181069959,0.3532467532,0.2925449871,0.2952380952,0.4417670683,0.675257732,0.4618055556,0.4,0.4631578947,0.3039215686,0.4558823529
Ochai Agbaji  ,2024,0.4926495726,0.1785714286,0.2105263158,0.05102040816,0.05691056911,0.1538461538,0.09401709402,0.1458966565,0.1028806584,0.07792207792,0.1023136247,0.1238095238,0.1084337349,0.4768041237,0.1180555556,0.1189189189,0.2421052632,0.09803921569,0.3382352941
